Title,Sold_Date,Sold_Price,Bids,Card_Link,Image_Link
2018 Donruss Lamar Jackson Rated Rookie Rc PSA 10 GEM MINT ,2021-02-09,117.77,5,https://www.ebay.com/itm/2018-Donruss-Lamar-Jackson-Rated-Rookie-Rc-PSA-10-GEM-MINT/313407260167?hash=item48f8874607%3Ag%3AeEAAAOSwgb5gHKvj&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/eEAAAOSwgb5gHKvj/s-l225.jpg
Josh Allen 2018 Honors RED ZONE PRIZM AUTO RC /15 Buffalo Bills ROOKIE PSA 10!!,2021-01-17,"2,499.99",1,https://www.ebay.com/itm/Josh-Allen-2018-Honors-RED-ZONE-PRIZM-AUTO-RC-15-Buffalo-Bills-ROOKIE-PSA-10/133635931463?hash=item1f1d527d47%3Ag%3Ad-0AAOSwkVBf-wey&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/d-0AAOSwkVBf-wey/s-l225.jpg
2018 Contenders BAKER MAYFIELD Rookie Auto /25 PSA 10 Panini DP Bowl Ticket,2020-12-11,310.53,5,https://www.ebay.com/itm/2018-Contenders-BAKER-MAYFIELD-Rookie-Auto-25-PSA-10-Panini-DP-Bowl-Ticket/373381052253?hash=item56ef3eb75d%3Ag%3AufYAAOSwL1tfld9v&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/ufYAAOSwL1tfld9v/s-l225.jpg
2018 Panini Flawless Baker Mayfield #BM Signature Rookie PSA 10 GEM MINT AUTO 10,2020-12-11,"1,430.00",42,https://www.ebay.com/itm/2018-Panini-Flawless-Baker-Mayfield-BM-Signature-Rookie-PSA-10-GEM-MINT-AUTO-10/143867766641?hash=item217f2fe771%3Ag%3Ab%7E4AAOSwbYFfxV2w&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/b~4AAOSwbYFfxV2w/s-l225.jpg
2018 Contenders Rookie Ticket #101 Baker Mayfield RC AUTO PSA 10 GEM MINT,2020-12-09,569.00,33,https://www.ebay.com/itm/2018-Contenders-Rookie-Ticket-101-Baker-Mayfield-RC-AUTO-PSA-10-GEM-MINT/373376153987?hash=item56eef3f983%3Ag%3ABvIAAOSwq%7ExfyCEg&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/BvIAAOSwq~xfyCEg/s-l225.jpg
2018 Panini Contenders Rookie Ticket #101 Baker Mayfield RC AUTO PSA 10,2020-12-07,743.00,21,https://www.ebay.com/itm/2018-Panini-Contenders-Rookie-Ticket-101-Baker-Mayfield-RC-AUTO-PSA-10/363202292140?hash=item54908b29ac%3Ag%3AqogAAOSwwyVfxVc4&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/qogAAOSwwyVfxVc4/s-l225.jpg
2018 Panini Donruss Optic Lamar Jackson PSA 10 GEM MINT RC Baltimore Ravens,2020-11-25,183.50,40,https://www.ebay.com/itm/2018-Panini-Donruss-Optic-Lamar-Jackson-PSA-10-GEM-MINT-RC-Baltimore-Ravens/133580415908?hash=item1f1a0363a4%3Ag%3ACf0AAOSw2UpftTeQ&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/Cf0AAOSw2UpftTeQ/s-l225.jpg
2018 Donruss Optic #167 Lamar Jackson Baltimore Ravens RC Rookie PSA 10,2021-02-14,232.50,21,https://www.ebay.com/itm/2018-Donruss-Optic-167-Lamar-Jackson-Baltimore-Ravens-RC-Rookie-PSA-10/383942877887?hash=item5964c762bf%3Ag%3AbFgAAOSwwfhgIF3P&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/bFgAAOSwwfhgIF3P/s-l225.jpg
2018 Panini Prizm Silver Rookie Autographs Josh Allen RC Auto PSA 10 GEM MINT,2021-01-17,"3,999.00",1,https://www.ebay.com/itm/2018-Panini-Prizm-Silver-Rookie-Autographs-Josh-Allen-RC-Auto-PSA-10-GEM-MINT/254832561737?hash=item3b55344e49%3Ag%3AOvUAAOSwnZxf%7ESmh&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/OvUAAOSwnZxf~Smh/s-l225.jpg
JOSH ALLEN 2018 FLAWLESS ROOKIE DIAMOND GEMS AUTO CARD #d/25 BILLS RC PSA 10 SSP,2021-01-16,"1,551.00",40,https://www.ebay.com/itm/JOSH-ALLEN-2018-FLAWLESS-ROOKIE-DIAMOND-GEMS-AUTO-CARD-d-25-BILLS-RC-PSA-10-SSP/313369809143?hash=item48f64bd0f7%3Ag%3AVl8AAOSw9wVf864Q&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/Vl8AAOSw9wVf864Q/s-l225.jpg
BAKER MAYFIELD AUTO RC 2018 PANINI PRIZM SILVER ROOKIE AUTOGRAPH PSA 10 GEM MINT,2020-12-06,599.00,1,https://www.ebay.com/itm/BAKER-MAYFIELD-AUTO-RC-2018-PANINI-PRIZM-SILVER-ROOKIE-AUTOGRAPH-PSA-10-GEM-MINT/264966021049?hash=item3db1349fb9%3Ag%3Av44AAOSw7kRfgllb&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/v44AAOSw7kRfgllb/s-l225.jpg
2018 Prizm Baker Mayfield Auto PSA 10 SP /199 Red Wave Rookie RC Browns QB,2020-12-06,521.00,4,https://www.ebay.com/itm/2018-Prizm-Baker-Mayfield-Auto-PSA-10-SP-199-Red-Wave-Rookie-RC-Browns-QB/184559396214?hash=item2af898e576%3Ag%3A-q0AAOSw4m1fg6sl&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/-q0AAOSw4m1fg6sl/s-l225.jpg
2018 Panini Prizm #BM Baker Mayfield Auto RC Rookie Gem Mint PSA 10,2020-12-06,511.00,43,https://www.ebay.com/itm/2018-Panini-Prizm-BM-Baker-Mayfield-Auto-RC-Rookie-Gem-Mint-PSA-10/203202715134?hash=item2f4fd35dfe%3Ag%3AUA4AAOSwIFBfxG21&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/UA4AAOSwIFBfxG21/s-l225.jpg
2018 Panini Donruss #317 Lamar Jackson Baltimore Ravens RC Rookie PSA 10,2021-02-11,122.50,25,https://www.ebay.com/itm/2018-Panini-Donruss-317-Lamar-Jackson-Baltimore-Ravens-RC-Rookie-PSA-10/363282569373?hash=item549554189d%3Ag%3AmboAAOSwsl5gHG7O&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/mboAAOSwsl5gHG7O/s-l225.jpg
2018 Panini Select Premier Level RC #149 Lamar Jackson PSA 10 Ravens,2021-02-07,168.50,26,https://www.ebay.com/itm/2018-Panini-Select-Premier-Level-RC-149-Lamar-Jackson-PSA-10-Ravens/224335249151?hash=item343b6c3eff%3Ag%3ADUMAAOSwXwRfdzQe&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/DUMAAOSwXwRfdzQe/s-l225.jpg
2018 Panini Contenders No Feet Visible Josh Allen Auto RC Rookie Gem Mint PSA 10,2021-01-13,"4,549.00",39,https://www.ebay.com/itm/2018-Panini-Contenders-No-Feet-Visible-Josh-Allen-Auto-RC-Rookie-Gem-Mint-PSA-10/203240956829?hash=item2f521ae39d%3Ag%3AFUEAAOSwxahf9olL&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/FUEAAOSwxahf9olL/s-l225.jpg
2018 Flawless Josh Allen Ruby Gem Signature Rookie Auto 2/20 PSA 10 GEM MT POP 1,2021-01-13,"4,145.00",80,https://www.ebay.com/itm/2018-Flawless-Josh-Allen-Ruby-Gem-Signature-Rookie-Auto-2-20-PSA-10-GEM-MT-POP-1/402636521557?hash=item5dbf01c055%3Ag%3AuQAAAOSw3Zpf790k&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/uQAAAOSw3Zpf790k/s-l225.jpg
2018 Panini Prizm Baker Mayfield ROOKIE RC AUTO #BM PSA 10 GEM MINT BROWNS ,2020-12-06,404.99,50,https://www.ebay.com/itm/2018-Panini-Prizm-Baker-Mayfield-ROOKIE-RC-AUTO-BM-PSA-10-GEM-MINT-BROWNS/264957087734?hash=item3db0ac4ff6%3Ag%3AdscAAOSwtDNfqrq%7E&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/dscAAOSwtDNfqrq~/s-l225.jpg
Lamar Jackson 2018 Optic Red/yellow RC; PSA 10! Low POP ; MVP; Invest🔥,2021-01-10,350.00,27,https://www.ebay.com/itm/Lamar-Jackson-2018-Optic-Red-yellow-RC-PSA-10-Low-POP-MVP-Invest/383887165009?hash=item5961754651%3Ag%3AH1IAAOSwEOhf8iKb&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/H1IAAOSwEOhf8iKb/s-l225.jpg
2018 donruss lamar jackson psa 10 🔥,2020-12-10,96.00,19,https://www.ebay.com/itm/2018-donruss-lamar-jackson-psa-10/174546989723?hash=item28a3cfb29b%3Ag%3AT9QAAOSw%7EkFfy%7EAk&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/T9QAAOSw~kFfy~Ak/s-l225.jpg
Josh Allen RC Patch Auto 2018 Obsidian Silver Prizm 54/100 RPA Sealed PSA 10?,2021-01-11,500.00,1,https://www.ebay.com/itm/Josh-Allen-RC-Patch-Auto-2018-Obsidian-Silver-Prizm-54-100-RPA-Sealed-PSA-10/265011052858?hash=item3db3e3c13a%3Ag%3A3lcAAOSw1Gxf%7ER5y&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/3lcAAOSw1Gxf~R5y/s-l225.jpg
JOSH ALLEN 2018 ELITE DRAFT ASPIRATIONS Purple AUTO RC 25/25 PSA 10 Pop 1/1 Rare,2021-01-11,"1,550.00",45,https://www.ebay.com/itm/JOSH-ALLEN-2018-ELITE-DRAFT-ASPIRATIONS-Purple-AUTO-RC-25-25-PSA-10-Pop-1-1-Rare/324441582706?hash=item4b8a39ac72%3Ag%3ASU8AAOSw59Jf77iW&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/SU8AAOSw59Jf77iW/s-l225.jpg
2018 Prizm Baker Mayfield Green Crystals RC Auto Autograph #03/75 PSA 10 GEM Y14,2020-12-06,481.06,39,https://www.ebay.com/itm/2018-Prizm-Baker-Mayfield-Green-Crystals-RC-Auto-Autograph-03-75-PSA-10-GEM-Y14/373374747849?hash=item56eede84c9%3Ag%3Aa58AAOSwzN9fxvXZ&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/a58AAOSwzN9fxvXZ/s-l225.jpg
